min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,$<training_time
0,0,0,0,0,0,0,0,0,0,0,20.88777137
0,0,0,0,0,0,0,0,0,0,1,20.9043541
0,0,0,0,0,0,0,0,0,1,0,20.92098212
0,0,0,0,0,0,0,0,0,1,1,20.84312582
0,0,0,0,0,0,0,0,1,0,0,21.04813671
0,0,0,0,0,0,0,0,1,0,1,20.90362644
0,0,0,0,0,0,0,0,1,1,0,20.82934475
0,0,0,0,0,0,0,0,1,1,1,20.91200352
0,0,0,0,0,0,0,1,0,0,0,32.92652321
0,0,0,0,0,0,0,1,0,0,1,33.05803585
0,0,0,0,0,0,0,1,0,1,0,32.97724676
0,0,0,0,0,0,0,1,0,1,1,32.98875356
0,0,0,0,0,0,0,1,1,0,0,32.96360779
0,0,0,0,0,0,0,1,1,0,1,32.97784853
0,0,0,0,0,0,0,1,1,1,0,33.01513505
0,0,0,0,0,0,0,1,1,1,1,33.10686898
0,0,0,0,0,0,1,0,0,0,0,15.70407653
0,0,0,0,0,0,1,0,0,0,1,15.77595735
0,0,0,0,0,0,1,0,0,1,0,15.74198055
0,0,0,0,0,0,1,0,0,1,1,15.73501873
0,0,0,0,0,0,1,0,1,0,0,15.69059682
0,0,0,0,0,0,1,0,1,0,1,15.819489
0,0,0,0,0,0,1,0,1,1,0,15.72613668
0,0,0,0,0,0,1,0,1,1,1,15.70260811
0,0,0,0,0,0,1,1,0,0,0,24.50927472
0,0,0,0,0,0,1,1,0,0,1,24.48175621
0,0,0,0,0,0,1,1,0,1,0,24.45464516
0,0,0,0,0,0,1,1,0,1,1,24.47788048
0,0,0,0,0,0,1,1,1,0,0,24.52909756
0,0,0,0,0,0,1,1,1,0,1,24.75097466
0,0,0,0,0,0,1,1,1,1,0,24.55095935
0,0,0,0,0,0,1,1,1,1,1,24.59559917
0,0,0,0,0,1,0,0,0,0,0,20.92851591
0,0,0,0,0,1,0,0,0,0,1,20.96988106
0,0,0,0,0,1,0,0,0,1,0,21.01486111
0,0,0,0,0,1,0,0,0,1,1,20.98755956
0,0,0,0,0,1,0,0,1,0,0,20.90679121
0,0,0,0,0,1,0,0,1,0,1,20.93926668
0,0,0,0,0,1,0,0,1,1,0,21.025805
0,0,0,0,0,1,0,0,1,1,1,20.96037102
0,0,0,0,0,1,0,1,0,0,0,33.15916204
0,0,0,0,0,1,0,1,0,0,1,33.08983135
0,0,0,0,0,1,0,1,0,1,0,33.15105295
0,0,0,0,0,1,0,1,0,1,1,33.29036403
0,0,0,0,0,1,0,1,1,0,0,33.06587911
0,0,0,0,0,1,0,1,1,0,1,33.03651333
0,0,0,0,0,1,0,1,1,1,0,33.21358466
0,0,0,0,0,1,0,1,1,1,1,33.08991337
0,0,0,0,0,1,1,0,0,0,0,15.79818797
0,0,0,0,0,1,1,0,0,0,1,15.86494422
0,0,0,0,0,1,1,0,0,1,0,15.8864615
0,0,0,0,0,1,1,0,0,1,1,15.81305981
0,0,0,0,0,1,1,0,1,0,0,15.74738407
0,0,0,0,0,1,1,0,1,0,1,15.94179201
0,0,0,0,0,1,1,0,1,1,0,15.86034989
0,0,0,0,0,1,1,0,1,1,1,15.86709023
0,0,0,0,0,1,1,1,0,0,0,24.57546735
0,0,0,0,0,1,1,1,0,0,1,24.52721643
0,0,0,0,0,1,1,1,0,1,0,24.73493576
0,0,0,0,0,1,1,1,0,1,1,24.60527968
0,0,0,0,0,1,1,1,1,0,0,24.60284448
0,0,0,0,0,1,1,1,1,0,1,24.59491062
0,0,0,0,0,1,1,1,1,1,0,24.6598177
0,0,0,0,0,1,1,1,1,1,1,24.6595757
0,0,0,0,1,0,0,0,0,0,0,20.74665308
0,0,0,0,1,0,0,0,0,0,1,54.25112271
0,0,0,0,1,0,0,0,0,1,0,108.2278111
0,0,0,0,1,0,0,0,0,1,1,108.6326365
0,0,0,0,1,0,0,0,1,0,0,108.2394938
0,0,0,0,1,0,0,0,1,0,1,108.4588869
0,0,0,0,1,0,0,0,1,1,0,108.4622955
0,0,0,0,1,0,0,0,1,1,1,108.331743
0,0,0,0,1,0,0,1,0,0,0,171.1630819
0,0,0,0,1,0,0,1,0,0,1,171.8301644
0,0,0,0,1,0,0,1,0,1,0,171.6818719
0,0,0,0,1,0,0,1,0,1,1,171.9117219
0,0,0,0,1,0,0,1,1,0,0,171.7325349
0,0,0,0,1,0,0,1,1,0,1,173.28302
0,0,0,0,1,0,0,1,1,1,0,171.6351585
0,0,0,0,1,0,0,1,1,1,1,172.3400764
0,0,0,0,1,0,1,0,0,0,0,83.0508635
0,0,0,0,1,0,1,0,0,0,1,82.59787822
0,0,0,0,1,0,1,0,0,1,0,82.69836211
0,0,0,0,1,0,1,0,0,1,1,82.72663283
0,0,0,0,1,0,1,0,1,0,0,82.65703559
0,0,0,0,1,0,1,0,1,0,1,82.66135263
0,0,0,0,1,0,1,0,1,1,0,82.92495918
0,0,0,0,1,0,1,0,1,1,1,83.1553297
0,0,0,0,1,0,1,1,0,0,0,128.5184557
0,0,0,0,1,0,1,1,0,0,1,128.0825498
0,0,0,0,1,0,1,1,0,1,0,128.5298967
0,0,0,0,1,0,1,1,0,1,1,128.9411876
0,0,0,0,1,0,1,1,1,0,0,127.9745784
0,0,0,0,1,0,1,1,1,0,1,128.0958416
0,0,0,0,1,0,1,1,1,1,0,128.3669546
0,0,0,0,1,0,1,1,1,1,1,128.5926991
0,0,0,0,1,1,0,0,0,0,0,108.348115
0,0,0,0,1,1,0,0,0,0,1,108.3218629
0,0,0,0,1,1,0,0,0,1,0,108.2424023
0,0,0,0,1,1,0,0,0,1,1,107.9723315
0,0,0,0,1,1,0,0,1,0,0,108.0868065
0,0,0,0,1,1,0,0,1,0,1,108.5456638
0,0,0,0,1,1,0,0,1,1,0,68.99467683
0,0,0,0,1,1,0,0,1,1,1,108.4222753
0,0,0,0,1,1,0,1,0,0,0,171.4083662
0,0,0,0,1,1,0,1,0,0,1,170.6471374
0,0,0,0,1,1,0,1,0,1,0,171.335228
0,0,0,0,1,1,0,1,0,1,1,171.1480751
0,0,0,0,1,1,0,1,1,0,0,170.6026511
0,0,0,0,1,1,0,1,1,0,1,170.8111842
0,0,0,0,1,1,0,1,1,1,0,171.076329
0,0,0,0,1,1,0,1,1,1,1,171.4220424
0,0,0,0,1,1,1,0,0,0,0,82.97139645
0,0,0,0,1,1,1,0,0,0,1,82.73044133
0,0,0,0,1,1,1,0,0,1,0,83.10394669
0,0,0,0,1,1,1,0,0,1,1,82.89471626
0,0,0,0,1,1,1,0,1,0,0,82.80312109
0,0,0,0,1,1,1,0,1,0,1,82.74732542
0,0,0,0,1,1,1,0,1,1,0,83.33897901
0,0,0,0,1,1,1,0,1,1,1,83.09317565
0,0,0,0,1,1,1,1,0,0,0,128.5362976
0,0,0,0,1,1,1,1,0,0,1,128.5958021
0,0,0,0,1,1,1,1,0,1,0,129.1361754
