executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,$<PERF
3,1095,0.38240101,0.232954754,8,1,1,0,1,1,44,37,0,3117
3,1111,0.371704686,0.2724867,8,1,1,0,1,1,48,36,0,3120
3,1024,0.299416562,0.2275566,8,1,1,0,1,1,46,31,0,3111
3,1024,0.164384763,0.209142716,8,1,1,0,1,1,47,21,0,3130
3,1024,0.176914882,0.172572301,8,1,1,0,1,1,45,22,0,3117
3,1024,0.286977287,0.130511131,8,1,1,0,0,2,38,29,0,3224
3,1024,0.243362325,0.22016452,8,1,1,0,1,1,47,27,0,3147
3,1024,0.3163587,0.156484391,9,1,0,0,1,1,41,29,0,3128
3,1024,0.428280619,0.206806885,8,1,1,0,0,2,41,40,0,3171
3,1024,0.400033538,0.247379775,8,1,1,0,1,1,47,36,0,2888
3,1024,0.292272594,0.217794944,9,1,0,0,1,1,49,24,0,3234
3,1024,0.298545335,0.195706215,9,1,0,0,1,1,46,26,0,2994
2,1294,0.1,0.152626009,5,1,1,0,1,2,38,48,0,2239
3,1200,0.23885152,0.258208084,6,1,1,0,1,1,48,43,0,3121
3,1321,0.158326131,0.141312885,6,1,1,0,1,2,37,46,0,2823
2,1546,0.111500766,0.1,7,1,0,0,0,2,19,51,0,2224
2,1409,0.155280813,0.1,6,1,0,0,0,2,31,48,0,2322
3,1573,0.338997559,0.39265797,7,1,1,1,1,1,62,32,0,3007
3,1024,0.1,0.492644305,7,0,1,0,1,0,79,19,0,2859
3,1024,0.160936363,0.454878138,7,0,1,0,1,0,73,24,0,3153
3,1024,0.1,0.519220075,7,0,1,0,1,0,84,15,0,2953
3,1024,0.1,0.531973535,8,0,1,0,1,0,86,14,0,3098
3,1024,0.225228816,0.434791688,7,0,1,0,1,1,69,27,0,2910
3,1024,0.210411652,0.438973468,7,0,1,0,1,1,70,26,0,3009
3,1024,0.115232458,0.476488357,7,0,1,0,1,0,75,22,0,2750
3,1393,0.301064195,0.405886824,7,1,1,0,1,1,64,30,0,2991
3,1024,0.126434522,0.474025854,7,0,1,0,1,0,75,22,0,3033
1,1096,0.715239953,0.573902933,7,1,1,0,0,2,19,52,0,1548
2,1195,0.608279576,0.611843128,7,1,1,0,0,2,35,47,0,2094
2,1102,0.66607553,0.566863632,7,1,0,0,0,2,26,50,0,2353
2,1158,0.652727761,0.600788467,7,1,1,0,0,2,29,49,0,2111
2,1190,0.634740698,0.614828177,7,1,1,0,0,2,32,48,0,2202
4,1024,0.373612795,0.9,12,1,0,1,1,0,40,8,0,3161
4,1024,0.241317927,0.9,12,0,0,1,1,0,37,8,0,3010
4,1024,0.308787253,0.9,12,1,0,1,1,0,64,8,0,2919
4,1094,0.451975436,0.9,8,1,1,1,1,0,42,8,0,3080
4,1024,0.530085515,0.9,12,1,1,1,1,0,22,8,0,2963
3,1024,0.491151393,0.794189015,12,1,0,0,0,1,56,8,0,3078
3,1024,0.480285829,0.9,12,1,0,0,1,0,82,8,0,3094
3,1024,0.519998541,0.9,12,1,0,0,0,1,66,8,0,2868
3,1024,0.485318493,0.832261141,12,1,0,0,0,1,60,8,0,3203
3,1024,0.498184068,0.805937582,12,1,0,0,0,1,62,8,0,2743
4,1024,0.1,0.1,12,1,0,0,0,2,8,8,0,3127
4,1024,0.659426561,0.1,12,1,0,0,0,2,8,8,0,3046
3,1024,0.585717986,0.1,12,1,0,0,0,1,8,8,0,2946
4,1024,0.637162989,0.1,12,1,0,0,0,1,8,8,0,3105
4,1024,0.376687909,0.1,12,1,0,0,0,2,8,8,0,3232
1,1145,0.1,0.9,10,0,0,0,0,2,75,8,0,1575
2,1488,0.320052372,0.720882069,7,0,0,0,0,2,46,8,0,2213
1,1434,0.1,0.895007652,8,0,0,0,0,2,53,8,0,1401
1,1435,0.136009778,0.706300129,6,0,0,0,0,2,55,8,0,1374
1,1593,0.151394004,0.818538238,9,0,0,0,0,2,41,8,0,1421
4,1742,0.573814052,0.9,12,1,1,1,1,0,8,28,0,3079
4,1584,0.577377779,0.9,12,1,1,1,1,0,8,25,0,3113
4,1438,0.563682621,0.9,11,1,1,1,1,0,8,26,0,2913
4,4096,0.9,0.9,12,1,1,1,1,0,8,64,0,3106
3,1511,0.669055806,0.9,11,1,1,1,1,0,8,33,0,2951
2,1221,0.599085027,0.9,8,0,1,0,1,1,8,17,0,2449
2,1185,0.586092297,0.9,7,0,1,0,1,1,8,19,0,2342
2,1137,0.600550876,0.9,7,1,1,0,1,1,8,22,0,2164
3,1167,0.576233,0.9,7,0,1,0,1,1,8,20,0,3144
2,1195,0.591472438,0.9,7,0,1,0,1,1,8,19,0,2108
3,1762,0.597379589,0.9,8,0,1,0,1,1,12,44,0,3250
3,1737,0.596870609,0.9,7,1,1,0,1,1,13,47,0,3292
3,1758,0.60729111,0.9,7,1,1,0,1,1,13,49,0,2877
3,1788,0.613475958,0.9,8,1,1,0,1,1,13,49,0,2595
3,1751,0.596269112,0.9,8,0,1,0,1,1,12,44,0,3053
4,2466,0.627929246,0.849960429,10,0,1,1,1,1,11,8,0,3174
4,3346,0.792041985,0.867720773,12,0,1,1,1,1,17,8,0,3185
4,2763,0.656365476,0.9,12,0,1,1,1,1,11,8,0,3202
4,1941,0.551313919,0.759561834,9,0,1,1,1,1,9,8,0,3081
4,4096,0.84797548,0.844522758,12,0,1,1,1,1,10,8,0,2971
3,1024,0.247941232,0.552552109,4,0,0,0,0,2,15,39,0,3210
3,1024,0.307811165,0.56045394,5,0,0,0,0,2,15,35,0,3192
2,1024,0.114154208,0.502369153,3,0,0,1,0,2,16,38,0,2380
3,1024,0.207458589,0.534144487,3,0,0,0,0,2,15,38,0,2944
3,1024,0.253812112,0.560027308,4,0,0,0,0,2,15,40,0,2478
4,1024,0.9,0.9,1,0,1,1,1,0,8,64,0,3167
1,4096,0.1,0.1,12,0,0,0,0,2,34,8,0,3305
4,1024,0.9,0.694457256,7,1,1,0,1,1,18,64,0,2845
4,1024,0.9,0.846269641,4,1,1,1,1,1,10,64,0,3067
1,3721,0.1,0.9,12,0,0,0,0,2,8,8,0,3185
1,1629,0.115533507,0.534613523,6,1,0,0,0,2,17,34,0,1408
1,1661,0.1,0.53226989,6,1,0,0,0,2,18,37,0,1226
1,1579,0.100759184,0.500602903,9,1,0,0,0,2,25,36,0,1371
1,1720,0.1,0.441619508,7,1,0,0,0,2,20,37,0,1719
1,1546,0.174206865,0.491007014,9,1,0,0,0,2,22,31,0,1324
3,1024,0.380691003,0.372864412,12,0,0,0,0,2,30,8,0,3238
4,1024,0.28939829,0.1,12,0,0,0,0,2,60,8,0,3161
3,1024,0.282868294,0.1,12,0,0,0,0,2,61,8,0,2932
3,1024,0.351266697,0.290943198,12,0,0,0,0,2,38,8,0,3081
3,1024,0.273188794,0.1,12,0,0,0,0,2,62,8,0,3165
2,1024,0.520996387,0.526515406,12,0,1,0,1,2,8,8,0,2316
4,1305,0.342831521,0.684039756,1,1,0,1,0,1,48,64,0,3236
4,1640,0.364312567,0.581593654,1,0,0,1,0,1,36,64,0,2472
4,3023,0.1,0.333337932,1,0,0,1,0,2,96,64,0,3207
4,1542,0.389678536,0.715979873,1,0,0,1,0,1,36,64,0,3068
2,1024,0.1,0.9,1,1,0,1,0,1,8,64,0,2264
4,1024,0.1,0.9,1,1,0,1,0,2,8,64,0,3180
4,1070,0.295445542,0.679335995,1,0,0,1,0,2,8,55,0,3073
4,1024,0.11898073,0.9,1,0,0,1,0,2,8,64,0,2878
4,1024,0.1,0.9,1,1,0,1,0,2,8,64,0,3137
4,1024,0.1,0.9,1,1,0,1,0,2,8,64,0,3182
2,4096,0.9,0.1,12,1,1,0,1,0,96,8,0,3067
4,1024,0.1,0.9,1,0,0,1,0,1,8,64,0,2846
4,1024,0.163571332,0.9,1,0,0,1,0,2,8,64,0,2855
4,1024,0.1,0.9,1,0,0,1,0,2,8,64,0,2929
4,1944,0.286371712,0.800640601,12,0,1,1,1,1,33,8,0,3111
3,1692,0.328406801,0.751598962,11,0,1,1,1,1,25,9,0,3132
4,1969,0.308567032,0.833363969,12,0,1,1,1,1,27,8,0,3179
4,1758,0.327236428,0.704518595,10,0,1,1,1,1,31,8,0,3185
4,1775,0.34638372,0.650212147,11,0,1,1,1,1,27,8,0,3061
3,1024,0.895651084,0.9,1,1,1,1,1,0,10,63,0,3197
2,1214,0.1,0.193259558,12,0,0,0,0,2,8,8,0,2239
4,1024,0.9,0.9,1,1,1,1,1,0,13,64,0,3123
4,1024,0.9,0.9,1,1,1,1,1,0,8,64,0,2923
1,4096,0.1,0.1,12,0,0,0,0,2,96,8,0,3146
3,2724,0.442701668,0.379936819,7,0,0,0,0,2,53,23,0,3108
4,3175,0.462277521,0.195404171,7,0,1,0,1,2,57,8,0,3242
4,3006,0.455447033,0.261767715,7,0,1,0,1,2,55,8,0,3229
4,3303,0.467012143,0.140957383,7,0,1,0,1,2,57,8,0,3239
4,3386,0.464580633,0.11774604,7,0,1,0,1,2,58,8,0,3197
4,2910,0.450924962,0.302671944,7,0,1,0,1,2,55,12,0,3256
4,2910,0.455229033,0.297291093,7,0,1,0,1,2,55,11,0,3316
4,3086,0.459633875,0.232072221,7,0,1,0,1,2,56,8,0,3269
4,2757,0.44908124,0.35983271,7,0,0,0,0,2,54,20,0,3219
4,3070,0.460249327,0.238193677,7,0,1,0,1,2,56,8,0,3245
4,1024,0.9,0.674348451,1,1,1,1,1,1,96,12,1,3129
1,4096,0.246228793,0.9,12,0,0,0,0,0,8,8,0,3297
4,1024,0.9,0.754815513,1,1,1,1,1,1,96,8,1,2785
4,1024,0.9,0.9,1,1,1,1,1,2,96,8,0,3129
4,1024,0.9,0.493727183,1,1,1,1,1,1,96,18,1,3194
1,1024,0.335533246,0.555859715,12,0,0,0,0,1,8,39,1,1333
2,1024,0.479792013,0.577819535,12,0,0,0,0,1,8,29,1,2099
2,1024,0.487245443,0.60381355,12,0,0,0,0,1,8,28,1,2293
1,1024,0.130189756,0.397403286,12,0,0,0,0,1,8,45,0,1445
2,1024,0.523338474,0.639258783,12,0,0,0,0,1,8,27,1,2281
4,1024,0.9,0.792706417,1,1,1,1,1,2,53,8,0,3122
1,1024,0.1,0.10730595,12,0,0,1,0,0,43,46,1,1198
4,1024,0.9,0.9,1,1,1,0,1,2,89,8,0,3035
4,1024,0.9,0.9,1,1,1,1,1,2,96,8,0,3014
4,1024,0.9,0.9,1,1,1,0,1,2,76,8,0,3006
2,1024,0.199048374,0.774893524,12,0,0,0,1,0,8,25,1,2263
1,1024,0.1,0.9,12,0,0,0,0,0,8,37,1,1309
1,1024,0.1,0.9,12,0,0,0,0,0,8,32,1,1442
1,1024,0.19120084,0.850950023,12,0,0,0,0,0,8,25,1,1443
1,1024,0.1,0.9,12,0,0,0,1,0,8,41,1,1400
4,2675,0.9,0.603425603,1,1,1,1,1,2,21,13,0,3094
1,1024,0.1,0.612656574,12,0,0,1,0,0,22,10,1,1422
4,2636,0.9,0.590345474,1,1,1,0,1,2,17,12,0,3242
1,1024,0.1,0.817301898,12,0,0,0,0,0,50,8,1,1205
1,1024,0.1,0.528668977,12,0,0,0,0,0,17,8,1,1542
