executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,$<PERF
2,1125,0.374827102,0.533048842,7,0,0,0,1,0,8,31,0,2363
2,1156,0.381285048,0.549159369,7,0,1,0,1,1,8,30,0,2230
2,1149,0.375213661,0.540980502,7,0,1,0,1,0,8,30,0,2242
3,1070,0.345324121,0.485569556,6,0,0,1,0,0,8,32,0,3265
3,1024,0.317094859,0.420708399,5,0,0,1,0,0,8,36,0,2933
1,4096,0.9,0.9,12,0,1,0,0,2,8,8,0,2809
3,1024,0.339547422,0.296020812,4,1,0,1,1,0,52,25,0,3089
4,1024,0.1,0.1,1,1,0,1,1,0,96,64,1,3055
3,1024,0.421531679,0.35584669,2,1,0,1,1,1,43,49,1,3156
4,1024,0.439586815,0.336808614,1,1,0,1,1,0,27,64,1,2936
4,1024,0.355996019,0.1,1,0,0,1,0,0,8,64,1,3104
4,1090,0.505275217,0.372014604,1,0,0,1,0,0,8,51,1,3203
3,1299,0.550576377,0.478916049,5,0,1,1,0,1,8,38,0,2958
4,1138,0.520966442,0.406976478,3,0,0,1,0,1,8,46,1,2840
3,1389,0.56011226,0.505176975,6,0,1,1,0,1,8,36,0,3113
4,1024,0.1,0.1,1,0,0,1,0,0,8,8,1,3041
4,1024,0.285414423,0.359825466,1,0,0,1,0,0,18,8,1,2987
1,3664,0.734828222,0.9,12,1,1,0,1,2,17,8,0,3015
4,1024,0.1,0.1,1,0,0,1,0,0,8,8,1,3038
4,1024,0.1,0.1,1,0,0,1,0,0,8,8,1,2795
4,1024,0.9,0.9,1,1,1,1,0,2,41,8,1,3149
4,1024,0.9,0.9,1,1,1,1,0,2,96,8,1,3199
4,1024,0.9,0.9,1,1,1,1,0,2,54,8,1,2835
3,1024,0.829921813,0.9,2,0,1,0,0,2,34,8,1,2997
3,1024,0.9,0.9,3,1,1,0,0,2,34,8,1,3096
1,1024,0.540343742,0.618568763,9,0,1,0,0,1,22,8,0,1564
1,1024,0.522541793,0.61395753,9,0,0,0,0,1,20,8,0,1379
2,1024,0.507674227,0.604447034,9,0,0,0,0,1,18,8,0,2380
1,1024,0.562857514,0.626254155,8,0,1,0,0,1,25,8,0,1336
1,1024,0.626976437,0.687835713,10,0,1,0,0,2,35,8,0,1766
3,1665,0.672818876,0.592686253,4,0,1,1,0,1,11,11,0,3176
4,1729,0.772881191,0.597088197,3,0,1,1,0,2,11,11,0,3149
3,1695,0.683604581,0.573465685,4,0,1,1,0,2,12,12,0,3023
3,1682,0.701197809,0.595365372,4,0,1,1,0,2,11,11,0,3167
4,1833,0.9,0.585018771,2,0,1,1,0,2,11,12,1,2657
1,1024,0.9,0.9,12,1,1,0,1,2,62,57,0,1355
4,1355,0.429115582,0.568523151,3,0,0,1,1,0,9,8,1,3033
3,1438,0.451669223,0.57298311,5,0,0,1,1,0,8,8,1,3023
1,1024,0.9,0.9,12,1,1,0,1,2,26,18,0,1603
4,2097,0.1,0.278429422,1,0,0,1,0,0,8,8,1,2968
2,1415,0.392537445,0.598622534,6,0,0,0,1,1,14,44,0,2295
3,1600,0.341962521,0.486984108,4,0,0,1,0,1,8,43,0,3204
3,1599,0.343623857,0.489891058,4,0,0,1,0,1,8,43,0,2772
3,1617,0.339388263,0.480533566,4,0,0,1,0,1,8,43,0,3031
3,1616,0.341125512,0.484317391,4,0,0,1,0,1,8,43,0,2836
3,1785,0.290466217,0.373267067,1,0,0,1,0,0,8,42,0,2994
3,1754,0.302871739,0.398958071,2,0,0,1,0,0,8,43,0,3048
2,1405,0.395059508,0.604231991,7,0,0,0,1,1,14,44,0,2095
2,1489,0.369960664,0.550446235,5,0,0,0,0,1,9,43,0,2340
2,1500,0.368048036,0.545373286,5,0,0,0,0,1,9,43,0,2270
3,1024,0.536384497,0.696505995,1,0,1,1,1,0,13,14,0,3229
4,1024,0.575921757,0.9,1,0,1,1,1,0,9,15,0,3150
4,1024,0.415842387,0.9,1,0,1,1,1,0,8,24,0,2943
4,1024,0.126567524,0.9,1,0,1,1,1,0,8,59,0,3036
4,1024,0.1,0.9,1,0,1,1,1,0,8,64,0,3050
2,1024,0.537051666,0.458630596,7,0,0,0,1,1,8,8,1,2265
2,1024,0.527247311,0.479487478,7,0,0,0,1,0,8,8,0,2256
2,1024,0.540627219,0.450410279,7,0,0,0,1,1,8,8,1,2147
2,1034,0.529384292,0.483043458,7,0,0,0,1,0,8,8,0,2368
1,1024,0.553283679,0.351877205,10,1,0,0,1,1,8,8,1,1282
2,2830,0.658930545,0.556021921,12,0,1,1,1,0,34,64,0,2368
3,1856,0.618869094,0.387696565,9,0,0,1,1,0,19,64,0,3197
3,2224,0.54969914,0.694153564,12,0,1,1,1,0,27,64,0,2941
3,1946,0.546092705,0.568097084,11,0,0,1,1,0,23,64,0,3021
3,1825,0.596436278,0.420055523,9,0,0,1,1,0,19,64,0,3006
4,1342,0.286727169,0.677147853,1,0,1,1,1,0,92,8,0,3156
4,1172,0.311758798,0.599509325,2,0,1,1,1,0,58,8,0,2996
4,1391,0.268339349,0.703387853,1,0,1,1,1,0,96,8,0,3114
4,1024,0.1,0.9,1,0,1,1,1,0,96,8,0,3218
4,1190,0.354566912,0.620190983,1,0,1,1,1,0,47,8,0,2701
1,1024,0.625258638,0.185919149,10,1,0,0,0,1,14,60,1,1466
2,1024,0.595270133,0.270996379,8,1,0,0,0,1,14,51,1,2290
2,1024,0.602499041,0.290722255,8,1,0,0,0,1,15,55,1,2346
4,4096,0.1,0.9,1,0,1,1,0,0,8,8,0,3174
1,1024,0.658853063,0.13137258,11,1,0,0,0,1,16,64,1,1413
4,1024,0.239681956,0.405544503,4,0,0,1,1,0,13,11,0,3133
4,1024,0.16730353,0.405838239,3,0,0,1,1,0,14,12,0,3018
4,1024,0.213227598,0.459180457,1,0,1,1,1,0,11,13,0,3191
4,1059,0.217569523,0.445752547,2,0,1,1,1,0,13,14,0,3168
4,1123,0.309197026,0.624483059,4,0,1,1,1,0,14,8,0,3183
3,1024,0.75214602,0.370993809,1,1,0,0,0,2,8,24,1,3072
1,1024,0.9,0.279209904,1,1,0,0,0,2,8,45,1,1279
2,1024,0.839008074,0.500873326,1,1,1,0,0,2,8,24,1,1940
4,1024,0.9,0.1,1,1,0,0,0,2,8,64,1,3153
2,1024,0.863759866,0.147165909,2,0,0,0,0,2,8,34,1,2346
2,1024,0.808921449,0.1,9,0,0,0,0,1,19,21,1,2241
1,1024,0.9,0.1,12,0,0,0,0,1,23,36,1,1403
1,1024,0.9,0.1,12,0,0,0,0,2,21,27,1,1509
1,1024,0.9,0.1,12,0,0,0,0,1,22,30,1,1430
1,1024,0.9,0.1,12,0,0,0,0,2,38,64,1,1498
3,1024,0.54089558,0.530244173,4,0,0,0,0,1,47,34,1,3038
4,1024,0.546086332,0.635430117,3,0,1,0,0,1,46,21,1,2988
4,1024,0.542506998,0.599187651,4,0,1,0,0,1,47,26,1,2714
4,1024,0.546807501,0.667521906,3,0,1,0,0,1,46,18,1,2963
4,1024,0.553805933,0.675739729,3,0,1,0,0,1,46,16,1,2975
4,1024,0.545637743,0.573590633,4,0,1,0,0,1,46,28,1,2744
4,1024,0.541206295,0.579673257,4,0,1,0,0,1,47,28,1,2844
4,1024,0.547616101,0.612627878,3,0,1,0,0,1,46,23,1,3068
3,1024,0.53878456,0.544027989,4,0,0,0,0,1,47,32,1,2947
4,1024,0.546477079,0.610036953,3,0,1,0,0,1,46,24,1,2908
2,1824,0.414794726,0.701994865,4,1,0,1,0,0,19,26,0,2281
2,1840,0.411514173,0.701467581,4,1,0,1,0,0,20,24,0,2129
2,1821,0.386361293,0.743986782,5,1,0,1,0,1,17,32,0,2270
2,1778,0.406731033,0.71778605,5,1,0,1,0,1,16,32,0,2171
2,1825,0.388216416,0.74053659,5,1,0,1,0,1,17,31,0,2025
4,1024,0.504016944,0.9,12,1,0,0,0,2,51,64,1,2913
4,1024,0.404204441,0.633095882,11,1,0,0,0,2,16,64,1,2940
4,1024,0.171516767,0.671312293,12,1,0,0,0,2,14,64,1,2797
4,1024,0.1,0.83234567,12,1,0,0,0,2,23,64,1,2896
4,1024,0.378872494,0.590069564,4,1,0,0,0,1,15,54,1,3053
4,4096,0.9,0.1,1,1,0,0,0,0,8,8,0,3013
1,1024,0.1,0.9,12,1,0,1,1,2,96,64,1,1523
4,2780,0.737632756,0.125408181,1,1,0,0,0,0,8,8,0,3096
4,4021,0.555545745,0.1,1,1,0,0,0,0,8,8,0,3128
4,4096,0.546719943,0.1,1,0,0,0,0,0,8,8,0,3101
4,2083,0.583786204,0.181426241,1,0,0,0,0,0,35,24,0,2995
4,2558,0.716307292,0.1,1,0,0,0,0,0,45,15,0,3112
4,2102,0.550045417,0.154554112,1,0,0,0,0,0,35,25,0,2722
4,3286,0.9,0.1,1,0,0,0,0,0,95,8,0,3085
4,2138,0.727315523,0.1,1,0,0,0,0,0,28,16,0,3129
1,1024,0.351563341,0.9,9,1,0,1,0,2,20,11,0,1535
1,1048,0.286814339,0.89321911,9,1,0,1,0,2,29,12,1,1477
1,1094,0.378886548,0.9,9,1,0,1,0,2,24,12,0,1415
1,1024,0.1,0.9,12,1,0,1,0,2,51,10,1,1390
1,1024,0.180387447,0.9,10,1,0,1,0,2,34,12,1,1502
4,1024,0.759337374,0.302719918,7,0,0,1,0,1,32,12,0,3014
4,1024,0.744841378,0.156342863,6,0,0,1,0,1,37,11,0,3111
4,1024,0.693047443,0.320706914,8,0,0,1,0,1,36,12,1,2972
4,1024,0.669871192,0.278453322,6,0,0,1,0,1,41,11,1,2787
4,1024,0.518746171,0.422054793,7,0,0,1,0,1,41,10,1,2713
1,1024,0.1,0.9,1,1,0,0,0,0,96,8,0,1471
2,1024,0.126712422,0.9,4,1,0,0,0,0,51,8,0,2330
1,1024,0.1,0.9,1,1,0,0,0,0,75,8,0,1384
2,1024,0.1,0.9,6,1,0,0,0,0,60,12,0,2150
1,1024,0.1,0.9,5,1,0,0,0,0,96,8,0,1388
2,1482,0.731532103,0.563108913,5,1,0,1,1,1,8,12,0,2192
1,1612,0.802284731,0.554015834,5,1,0,1,1,1,8,12,0,1329
2,1528,0.737911615,0.565555777,6,1,0,1,1,1,8,12,0,2321
1,1567,0.772365085,0.560036902,5,1,0,1,1,1,8,12,0,1452
1,1633,0.829232537,0.551287221,4,1,0,0,1,0,8,12,0,1512
3,1170,0.486311224,0.566137417,7,0,0,1,1,1,2,38,1,3102
4,1207,0.535002814,0.287827643,8,0,0,1,0,1,2,53,1,2930
4,1197,0.515040652,0.388363047,8,0,0,1,0,1,2,48,1,2809
4,1222,0.546596037,0.208307552,9,0,0,1,0,1,2,58,1,2897
4,1216,0.557001967,0.178958559,9,0,0,1,0,1,2,59,1,2747
4,1199,0.506913906,0.453139267,8,0,0,1,0,1,2,44,1,3035
4,1201,0.506818066,0.439286153,8,0,0,1,0,1,2,45,1,2651
4,1206,0.529084348,0.338527959,8,0,0,1,0,1,2,50,1,3035
4,1185,0.491023464,0.530088871,8,0,0,1,1,1,2,40,1,2880
4,1205,0.527119923,0.34975274,8,0,0,1,0,1,2,50,1,2800
2,1404,0.67705395,0.814821584,3,1,1,1,1,2,90,59,0,2149
3,1249,0.762611021,0.672688108,5,0,1,1,1,2,64,51,0,3011
3,1282,0.64320567,0.661793696,5,1,1,1,1,2,63,45,0,2856
3,1243,0.659640493,0.670620867,6,1,1,1,1,1,61,47,0,2826
3,1319,0.666849747,0.642701434,5,1,1,1,1,2,62,49,0,3015
3,1048,0.464228467,0.638951771,5,0,1,1,1,1,73,8,0,3132
1,4096,0.1,0.1,1,1,0,0,0,2,8,64,0,2902
3,1024,0.503744424,0.733764435,4,0,1,1,1,1,93,8,0,2855
4,1024,0.9,0.9,12,0,1,1,1,0,96,8,0,3113
3,1024,0.529150111,0.800232848,3,0,1,1,1,1,96,8,0,2980
4,4096,0.9,0.239829933,12,0,1,1,0,2,8,64,0,3197
4,4096,0.9,0.287827334,12,0,1,1,0,2,8,64,0,3029
1,1024,0.1,0.1,1,1,0,0,1,0,96,8,0,1273
2,3524,0.9,0.1,12,0,1,1,0,2,8,64,0,2959
4,4096,0.9,0.260599859,12,0,1,1,0,2,8,64,0,2981
2,1066,0.1,0.1,2,1,0,0,0,2,75,14,0,2227
3,1241,0.170531229,0.153229179,4,1,1,0,0,2,47,21,0,3222
2,1071,0.1,0.1,2,1,0,0,0,2,74,14,0,2075
3,1191,0.151614261,0.1,4,1,0,0,0,2,50,21,0,2991
2,1074,0.1,0.1,3,1,0,0,0,2,65,17,0,2180
2,1321,0.1,0.1,3,1,0,0,0,1,96,8,0,2278
4,1024,0.9,0.9,12,0,1,1,0,2,8,64,0,3160
4,1024,0.9,0.9,12,0,1,1,0,2,8,64,0,2922
4,1104,0.9,0.9,12,0,1,1,0,1,8,64,0,3065
4,1024,0.9,0.876663518,12,0,1,1,0,1,8,60,0,2856
2,1302,0.176854186,0.1,3,1,1,0,0,1,48,30,0,2243
2,1371,0.1,0.1,1,1,1,0,0,1,59,37,0,2274
2,1266,0.153297879,0.1,2,1,1,0,0,2,52,32,0,2157
2,1383,0.1,0.131154046,2,1,1,0,0,1,48,29,0,2142
2,1217,0.201423042,0.1,3,1,1,0,0,2,52,34,0,2369
4,3767,0.214781243,0.9,9,0,0,1,0,2,96,8,0,3167
4,2824,0.371498695,0.888480054,8,0,0,1,0,2,96,8,0,3236
4,4096,0.1,0.9,7,0,0,1,0,2,96,8,0,3084
1,1024,0.413444113,0.1,5,1,1,0,1,1,8,60,0,1378
4,4096,0.9,0.9,12,0,0,1,0,1,96,8,0,3094
3,1024,0.1,0.443888951,1,0,0,0,0,2,95,8,0,3080
3,1024,0.1,0.392288885,1,0,0,0,1,1,92,8,0,3197
3,1024,0.1,0.370823715,1,1,0,0,1,1,85,8,0,3034
3,1024,0.1,0.36439314,1,1,0,0,1,1,93,8,0,2975
3,1024,0.1,0.397270877,1,0,0,0,1,1,96,8,0,3140
3,1024,0.1,0.299013154,1,1,0,0,1,1,50,8,0,3015
3,1024,0.1,0.317112942,1,1,0,0,1,1,46,8,0,3168
3,1024,0.1,0.337869092,3,1,0,0,1,1,42,8,0,3043
3,1024,0.1,0.335349814,3,1,0,0,1,1,41,8,0,3144
3,1024,0.1,0.322269487,2,1,0,0,1,1,44,8,0,2949
1,2403,0.1,0.1,1,1,0,0,0,2,96,64,0,2242
1,2315,0.1,0.1,1,1,0,0,0,2,96,64,0,2485
3,1690,0.1,0.1,2,1,0,0,0,2,53,44,0,3113
2,1810,0.1,0.1,1,1,0,0,0,2,63,53,0,2194
2,1964,0.1,0.1,1,1,0,0,0,2,75,62,0,2190
2,1024,0.217788564,0.1,4,1,0,0,0,2,77,34,0,2301
2,1024,0.140463949,0.1,3,1,0,0,0,2,69,32,0,2303
1,1024,0.1,0.1,1,1,0,0,0,2,96,30,0,1417
2,1024,0.274845124,0.1,5,1,1,0,0,2,57,33,0,2185
2,1024,0.342687598,0.1,5,1,0,0,0,2,62,35,0,2200
4,1121,0.816959153,0.246848391,12,1,1,1,1,1,12,38,0,3017
4,1294,0.708789777,0.204191932,12,1,1,0,1,1,11,18,0,3216
4,1240,0.680278111,0.308771699,12,1,1,1,1,1,10,28,0,2940
4,1258,0.70835113,0.203750761,12,1,1,0,1,1,11,27,0,3054
4,1387,0.498826389,0.307607755,12,1,1,0,1,1,8,18,0,2989
1,1282,0.1,0.1,1,1,0,0,1,2,14,48,0,1442
1,1234,0.1,0.1,4,1,0,0,1,2,8,33,0,1456
2,1026,0.120519898,0.14954142,5,1,0,0,1,1,9,31,0,2145
1,1110,0.1,0.1,3,1,0,0,1,2,10,41,0,1319
1,1395,0.1,0.1,4,1,0,0,1,2,8,47,0,1549
2,1431,0.27975084,0.1,7,1,1,0,0,1,18,13,0,2262
1,2959,0.1,0.1,3,0,0,0,0,0,8,8,0,2264
3,1773,0.1,0.1,1,0,0,0,0,0,69,8,0,3116
2,1507,0.18957404,0.1,6,0,0,0,0,1,20,8,0,2077
4,1024,0.9,0.9,11,1,1,1,1,2,96,64,0,3071
3,1233,0.282516355,0.238673065,8,1,0,0,1,1,49,29,0,3095
3,1147,0.335440928,0.251677647,8,1,1,0,1,1,47,34,0,3225
3,1105,0.375298264,0.202548267,8,1,1,0,1,1,42,36,0,2915
