maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,$<PERF
395.0,18.0,1335.0,24014.0,7730.0,173.0,7.0,39265.0,27.0,142.0,299.0,5.0,1095.4
481.0,43.0,3259.0,34354.0,31580.0,103.0,1.0,33886.0,47.0,445.0,228.0,2.0,1111.0
296.0,4.0,1869.0,24715.0,21732.0,92.0,4.0,12953.0,12.0,463.0,310.0,44.0,1135.7
153.0,44.0,195.0,3994.0,7073.0,19.0,9.0,59.0,48.0,362.0,41.0,4.0,1113.1
115.0,36.0,1728.0,48002.0,14247.0,12.0,6.0,46991.0,8.0,277.0,287.0,6.0,1091.2
265.0,7.0,343.0,13638.0,11153.0,164.0,6.0,47653.0,49.0,443.0,247.0,50.0,1052.6
251.0,4.0,450.0,20805.0,33011.0,121.0,1.0,9142.0,19.0,161.0,424.0,36.0,1130.7
96.0,42.0,6266.0,29689.0,39703.0,34.0,8.0,22230.0,33.0,416.0,63.0,2.0,1051.1
467.0,28.0,1218.0,5109.0,45118.0,16.0,2.0,38957.0,8.0,234.0,52.0,49.0,1030.0
259.0,24.0,1829.0,30347.0,17275.0,74.0,9.0,21664.0,2.0,357.0,118.0,1.0,1182.2
493.0,18.0,7210.0,12420.0,49175.0,144.0,5.0,1657.0,15.0,365.0,374.0,33.0,1162.3
30.0,7.0,7067.0,21687.0,25717.0,87.0,7.0,332.0,18.0,225.0,263.0,24.0,1108.4
181.0,19.0,7216.0,35416.0,20452.0,72.0,4.0,30041.0,45.0,28.0,413.0,1.0,1132.8
71.0,31.0,1500.0,47125.0,34221.0,64.0,2.0,33470.0,26.0,414.0,306.0,30.0,1110.6
315.0,45.0,2709.0,34953.0,30328.0,181.0,6.0,33170.0,21.0,431.0,172.0,46.0,1175.2
325.0,34.0,22.0,4401.0,39731.0,171.0,3.0,13222.0,13.0,334.0,419.0,48.0,1113.7
90.0,33.0,7353.0,38615.0,9481.0,14.0,9.0,31050.0,22.0,11.0,138.0,20.0,1027.7
29.0,24.0,305.0,30511.0,38086.0,89.0,7.0,9111.0,50.0,261.0,359.0,28.0,1266.1
341.0,9.0,5058.0,36834.0,25964.0,18.0,9.0,16877.0,5.0,225.0,494.0,33.0,1214.5
51.0,25.0,3118.0,39506.0,21878.0,10.0,3.0,5208.0,18.0,148.0,449.0,22.0,1109.0
39.0,22.0,5779.0,33653.0,21964.0,98.0,8.0,46689.0,47.0,16.0,465.0,18.0,1073.7
423.0,29.0,4073.0,10333.0,36737.0,83.0,5.0,9927.0,14.0,466.0,271.0,19.0,1055.1
239.0,1.0,194.0,32730.0,14600.0,191.0,2.0,34189.0,15.0,399.0,377.0,48.0,1108.5
101.0,5.0,2639.0,28801.0,296.0,122.0,10.0,35350.0,45.0,379.0,427.0,42.0,1203.4
326.0,3.0,922.0,26354.0,21574.0,76.0,2.0,20591.0,24.0,306.0,176.0,34.0,1157.1
438.0,23.0,7975.0,47191.0,31129.0,200.0,4.0,23866.0,48.0,180.0,427.0,25.0,1176.9
209.0,19.0,6074.0,16034.0,17771.0,198.0,1.0,29096.0,30.0,320.0,220.0,22.0,1197.9
118.0,45.0,1274.0,435.0,10002.0,38.0,10.0,25942.0,7.0,280.0,70.0,44.0,1106.2
138.0,10.0,3894.0,1826.0,49886.0,182.0,2.0,7735.0,31.0,77.0,238.0,14.0,1140.8
206.0,18.0,1303.0,42381.0,43962.0,97.0,3.0,38462.0,35.0,335.0,413.0,33.0,1121.8
393.0,50.0,5641.0,17286.0,45204.0,43.0,2.0,10087.0,11.0,251.0,308.0,29.0,1103.5
23.0,10.0,2324.0,12909.0,11192.0,58.0,10.0,7557.0,30.0,444.0,77.0,40.0,1184.3
46.0,39.0,4016.0,14516.0,37143.0,118.0,5.0,23319.0,26.0,466.0,410.0,29.0,1187.4
151.0,44.0,4299.0,33905.0,24361.0,183.0,7.0,14873.0,32.0,409.0,15.0,42.0,1122.1
435.0,6.0,3207.0,9434.0,16319.0,52.0,10.0,17145.0,23.0,160.0,286.0,40.0,1101.3
307.0,30.0,3698.0,22826.0,21400.0,184.0,7.0,48169.0,24.0,295.0,278.0,39.0,1119.7
54.0,47.0,2999.0,47203.0,46338.0,78.0,9.0,19653.0,8.0,333.0,408.0,2.0,1098.4
344.0,6.0,5902.0,47284.0,14738.0,171.0,5.0,19684.0,8.0,492.0,369.0,1.0,1114.7
446.0,45.0,5821.0,29154.0,16062.0,69.0,2.0,1047.0,37.0,152.0,11.0,26.0,1133.1
431.0,14.0,2454.0,32831.0,8507.0,24.0,3.0,16276.0,38.0,65.0,141.0,22.0,1115.4
55.0,24.0,3766.0,11950.0,46769.0,57.0,8.0,25492.0,44.0,469.0,187.0,17.0,1116.7
120.0,27.0,6245.0,36811.0,37377.0,51.0,10.0,11359.0,42.0,172.0,210.0,17.0,1071.7
88.0,30.0,4854.0,37638.0,19386.0,113.0,10.0,28144.0,30.0,24.0,327.0,29.0,1093.6
91.0,1.0,4000.0,41842.0,28889.0,10.0,8.0,24733.0,25.0,36.0,80.0,22.0,1080.4
468.0,6.0,5408.0,28133.0,6870.0,138.0,5.0,25092.0,42.0,52.0,267.0,4.0,1159.6
435.0,23.0,152.0,16773.0,32132.0,124.0,5.0,19887.0,21.0,229.0,151.0,39.0,1117.8
358.0,17.0,5723.0,18506.0,18312.0,20.0,9.0,36467.0,6.0,95.0,181.0,9.0,1058.3
439.0,9.0,622.0,6951.0,7795.0,193.0,2.0,46954.0,4.0,315.0,448.0,15.0,1305.3
195.0,7.0,6127.0,11100.0,11408.0,21.0,1.0,43573.0,16.0,464.0,34.0,28.0,1081.4
151.0,8.0,4130.0,10073.0,32267.0,165.0,6.0,30253.0,32.0,353.0,430.0,5.0,1228.5
194.0,18.0,65.0,41190.0,28576.0,60.0,6.0,17716.0,26.0,35.0,457.0,29.0,1169.2
198.0,14.0,2628.0,20599.0,12830.0,133.0,9.0,41885.0,12.0,461.0,28.0,48.0,1088.3
52.0,29.0,2418.0,30072.0,9714.0,161.0,8.0,31028.0,34.0,22.0,102.0,44.0,1149.8
116.0,33.0,4410.0,38269.0,15191.0,158.0,4.0,1371.0,48.0,180.0,112.0,30.0,1035.4
140.0,27.0,2869.0,1313.0,15094.0,58.0,3.0,12415.0,24.0,240.0,299.0,33.0,1044.2
231.0,27.0,2177.0,37602.0,48334.0,82.0,6.0,22071.0,38.0,138.0,101.0,29.0,1082.6
155.0,17.0,1679.0,14305.0,35447.0,4.0,7.0,15570.0,14.0,93.0,288.0,49.0,1049.3
316.0,36.0,3090.0,12024.0,46562.0,90.0,7.0,17490.0,10.0,307.0,353.0,2.0,1104.0
469.0,40.0,3012.0,27298.0,48592.0,156.0,3.0,14754.0,17.0,366.0,420.0,19.0,1142.9
468.0,20.0,823.0,4461.0,25830.0,100.0,9.0,11985.0,38.0,132.0,312.0,7.0,1203.9
397.0,42.0,801.0,5726.0,1332.0,18.0,6.0,28916.0,45.0,127.0,443.0,7.0,1089.1
185.0,45.0,2340.0,31849.0,14960.0,35.0,4.0,21436.0,13.0,280.0,33.0,26.0,1027.9
299.0,22.0,2595.0,37915.0,47662.0,109.0,1.0,29686.0,9.0,437.0,167.0,40.0,1143.6
345.0,14.0,7609.0,7914.0,43634.0,39.0,9.0,307.0,24.0,115.0,316.0,43.0,1104.5
26.0,32.0,5840.0,7609.0,13555.0,101.0,6.0,28497.0,14.0,469.0,208.0,42.0,1163.3
185.0,16.0,6799.0,15771.0,20013.0,175.0,1.0,19766.0,47.0,130.0,393.0,42.0,1146.1
386.0,6.0,3647.0,10559.0,30445.0,178.0,3.0,27154.0,2.0,136.0,10.0,22.0,1186.2
89.0,26.0,2620.0,25445.0,32111.0,185.0,7.0,23697.0,31.0,191.0,267.0,34.0,1222.5
63.0,36.0,6013.0,3510.0,46908.0,143.0,5.0,37788.0,9.0,72.0,27.0,35.0,1239.2
192.0,35.0,4112.0,3912.0,3707.0,130.0,3.0,13764.0,16.0,488.0,309.0,11.0,1089.4
36.0,24.0,5410.0,32038.0,20770.0,166.0,7.0,43053.0,6.0,299.0,122.0,32.0,1062.4
446.0,3.0,2279.0,40488.0,39351.0,7.0,2.0,5788.0,42.0,9.0,500.0,25.0,1084.1
8.0,35.0,3929.0,9685.0,44459.0,88.0,1.0,41075.0,26.0,29.0,442.0,4.0,1176.3
497.0,29.0,1238.0,13892.0,322.0,194.0,6.0,43404.0,24.0,459.0,396.0,47.0,1076.4
225.0,13.0,4972.0,33764.0,29758.0,80.0,2.0,16326.0,25.0,209.0,482.0,39.0,1110.1
486.0,21.0,3705.0,36928.0,38730.0,55.0,3.0,35631.0,20.0,429.0,387.0,31.0,1081.8
138.0,34.0,6713.0,16628.0,25879.0,200.0,9.0,27384.0,13.0,412.0,352.0,20.0,1164.0
418.0,16.0,3615.0,24988.0,31571.0,164.0,5.0,40711.0,1.0,39.0,157.0,16.0,1119.8
299.0,38.0,4825.0,15078.0,9573.0,109.0,6.0,9052.0,41.0,361.0,64.0,47.0,1075.3
58.0,29.0,7686.0,15303.0,35351.0,37.0,7.0,35617.0,19.0,339.0,388.0,20.0,1187.1
488.0,8.0,5507.0,921.0,42493.0,68.0,8.0,33477.0,46.0,368.0,441.0,33.0,1089.7
393.0,36.0,4936.0,28486.0,40434.0,192.0,3.0,48521.0,32.0,438.0,132.0,2.0,1118.4
254.0,33.0,61.0,4694.0,2347.0,146.0,4.0,26766.0,23.0,498.0,101.0,23.0,1199.9
10.0,10.0,7512.0,6027.0,22118.0,72.0,4.0,8237.0,42.0,424.0,5.0,34.0,1159.2
28.0,45.0,1300.0,4149.0,39994.0,133.0,5.0,35744.0,19.0,245.0,460.0,40.0,1129.3
131.0,14.0,7763.0,5581.0,25506.0,157.0,2.0,5432.0,5.0,446.0,191.0,37.0,1086.7
296.0,5.0,4138.0,33616.0,24070.0,89.0,6.0,2459.0,32.0,231.0,239.0,38.0,1214.3
365.0,24.0,1981.0,41356.0,5584.0,114.0,9.0,19362.0,49.0,289.0,388.0,18.0,1096.5
57.0,30.0,598.0,332.0,28131.0,125.0,5.0,31971.0,6.0,267.0,245.0,2.0,1140.1
214.0,20.0,3818.0,33584.0,25398.0,185.0,9.0,26047.0,15.0,211.0,112.0,43.0,1210.9
387.0,4.0,3847.0,9393.0,18689.0,38.0,6.0,12232.0,25.0,496.0,44.0,14.0,1139.9
291.0,26.0,7285.0,25380.0,48360.0,188.0,2.0,3828.0,29.0,157.0,365.0,50.0,1085.7
40.0,30.0,2912.0,694.0,29541.0,62.0,5.0,36692.0,3.0,356.0,400.0,19.0,1132.1
418.0,33.0,5642.0,16476.0,12806.0,77.0,1.0,24814.0,2.0,457.0,61.0,3.0,1095.2
376.0,35.0,3561.0,4251.0,11772.0,23.0,9.0,23707.0,7.0,24.0,104.0,13.0,1101.1
292.0,15.0,7794.0,31342.0,24144.0,150.0,9.0,282.0,20.0,214.0,65.0,38.0,1149.0
412.0,42.0,5382.0,25303.0,22379.0,185.0,8.0,1232.0,6.0,225.0,100.0,41.0,1160.8
375.0,31.0,785.0,34037.0,41964.0,64.0,3.0,34753.0,23.0,61.0,131.0,20.0,1126.1
266.0,17.0,2113.0,48085.0,16965.0,66.0,4.0,13037.0,50.0,156.0,442.0,29.0,1277.8
29.0,32.0,815.0,1015.0,28588.0,3.0,3.0,44848.0,5.0,284.0,407.0,8.0,1020.0
160.0,22.0,6695.0,43833.0,11838.0,5.0,9.0,26535.0,23.0,374.0,222.0,37.0,1048.1
121.0,42.0,5365.0,30923.0,40576.0,93.0,3.0,14583.0,39.0,281.0,1.0,42.0,1017.3
89.0,17.0,7988.0,10120.0,42756.0,69.0,10.0,26136.0,23.0,340.0,392.0,1.0,1011.7
355.0,36.0,2546.0,2828.0,42273.0,199.0,7.0,39141.0,10.0,337.0,316.0,42.0,1073.3
465.0,31.0,5277.0,41448.0,8356.0,158.0,5.0,11436.0,46.0,136.0,467.0,45.0,1124.4
438.0,12.0,3145.0,33144.0,14294.0,85.0,8.0,10128.0,33.0,36.0,81.0,1.0,1021.9
137.0,50.0,78.0,23423.0,6035.0,1.0,1.0,9436.0,31.0,373.0,238.0,2.0,1011.2
138.0,43.0,5998.0,23040.0,6984.0,78.0,9.0,13989.0,13.0,366.0,325.0,11.0,1099.3
476.0,2.0,1175.0,12217.0,18978.0,194.0,7.0,34513.0,28.0,398.0,33.0,38.0,1146.7
15.0,39.0,4324.0,15886.0,23265.0,125.0,4.0,45156.0,17.0,243.0,113.0,3.0,1143.1
390.0,12.0,2846.0,5389.0,4917.0,82.0,6.0,15633.0,18.0,183.0,8.0,9.0,1076.5
30.0,26.0,7276.0,43317.0,17580.0,64.0,3.0,15028.0,20.0,433.0,42.0,25.0,1164.0
104.0,41.0,2383.0,47641.0,30716.0,179.0,5.0,10168.0,48.0,494.0,148.0,39.0,1047.4
288.0,36.0,3301.0,47745.0,19760.0,15.0,7.0,21402.0,8.0,157.0,191.0,29.0,1019.1
192.0,20.0,2530.0,25119.0,29808.0,132.0,10.0,9854.0,23.0,339.0,34.0,44.0,1167.7
286.0,20.0,465.0,5275.0,39604.0,16.0,1.0,9484.0,13.0,209.0,283.0,4.0,1134.0
38.0,32.0,7916.0,1962.0,25146.0,110.0,1.0,28688.0,46.0,316.0,256.0,28.0,1144.4
5.0,9.0,5384.0,18398.0,13071.0,148.0,8.0,13835.0,50.0,249.0,309.0,29.0,1136.8
295.0,28.0,6523.0,48693.0,36774.0,156.0,3.0,5828.0,46.0,84.0,115.0,30.0,1119.9
187.0,41.0,7104.0,32019.0,29431.0,27.0,4.0,34823.0,16.0,322.0,252.0,1.0,1020.0
312.0,35.0,4514.0,27788.0,46401.0,161.0,4.0,21056.0,25.0,285.0,77.0,1.0,1027.1
370.0,12.0,4555.0,48679.0,15306.0,180.0,9.0,9030.0,19.0,379.0,195.0,23.0,1180.2
341.0,8.0,1818.0,24857.0,2469.0,154.0,3.0,12567.0,33.0,469.0,385.0,37.0,1135.7
94.0,25.0,4072.0,39613.0,31895.0,136.0,4.0,1765.0,49.0,156.0,279.0,27.0,1143.1
211.0,24.0,7500.0,27676.0,7315.0,194.0,8.0,21712.0,46.0,174.0,492.0,19.0,1229.6
11.0,21.0,649.0,48222.0,17180.0,114.0,4.0,28119.0,2.0,227.0,480.0,48.0,1081.1
78.0,49.0,5490.0,33231.0,31912.0,67.0,2.0,47072.0,18.0,349.0,364.0,49.0,1020.6
378.0,9.0,3036.0,35545.0,47580.0,146.0,4.0,5037.0,50.0,234.0,327.0,30.0,995.3
160.0,30.0,1494.0,38588.0,22980.0,79.0,2.0,45354.0,44.0,387.0,228.0,29.0,1259.0
313.0,49.0,3722.0,1280.0,30337.0,115.0,6.0,49570.0,11.0,171.0,243.0,33.0,1169.7
325.0,33.0,4279.0,45386.0,10092.0,149.0,10.0,25797.0,31.0,305.0,291.0,19.0,1180.1
232.0,30.0,2770.0,47370.0,22542.0,96.0,4.0,32925.0,45.0,160.0,480.0,37.0,1130.2
6.0,6.0,127.0,6600.0,23706.0,140.0,6.0,29386.0,15.0,21.0,407.0,42.0,1188.6
18.0,44.0,7364.0,19245.0,28349.0,55.0,3.0,49509.0,44.0,32.0,127.0,41.0,1036.5
350.0,38.0,7973.0,781.0,45301.0,144.0,10.0,24864.0,48.0,28.0,293.0,31.0,1171.4
280.0,22.0,1237.0,10537.0,49548.0,85.0,8.0,12972.0,27.0,63.0,374.0,19.0,1084.5
177.0,21.0,3983.0,6725.0,35351.0,32.0,5.0,14644.0,2.0,16.0,330.0,32.0,1109.5
463.0,25.0,2389.0,27673.0,2725.0,30.0,5.0,26713.0,23.0,195.0,58.0,32.0,1003.8
200.0,11.0,3635.0,24854.0,44959.0,140.0,2.0,3798.0,21.0,36.0,315.0,33.0,1179.4
120.0,50.0,89.0,45742.0,22344.0,17.0,3.0,25725.0,42.0,218.0,335.0,18.0,1064.3
415.0,38.0,5242.0,17270.0,47061.0,99.0,5.0,42860.0,48.0,191.0,233.0,15.0,1113.3
341.0,30.0,7117.0,45174.0,35007.0,199.0,1.0,39270.0,48.0,267.0,91.0,43.0,1105.8
426.0,21.0,3399.0,17724.0,27572.0,84.0,7.0,33445.0,10.0,395.0,468.0,44.0,1134.4
41.0,31.0,5933.0,23196.0,16155.0,115.0,5.0,10634.0,36.0,276.0,133.0,2.0,1150.7
443.0,22.0,509.0,44613.0,8220.0,14.0,6.0,34292.0,50.0,42.0,273.0,14.0,976.1
387.0,35.0,824.0,29540.0,21107.0,46.0,4.0,9886.0,27.0,434.0,104.0,9.0,1125.5
314.0,23.0,4426.0,48639.0,9568.0,53.0,4.0,47339.0,36.0,178.0,261.0,11.0,1165.9
56.0,3.0,4912.0,47587.0,36062.0,74.0,2.0,14632.0,47.0,251.0,422.0,46.0,967.7
69.0,21.0,3827.0,2175.0,5214.0,15.0,10.0,18114.0,5.0,148.0,104.0,8.0,1145.9
391.0,9.0,6103.0,5579.0,25096.0,135.0,1.0,35737.0,2.0,263.0,488.0,33.0,974.8
142.0,14.0,751.0,9952.0,35027.0,10.0,5.0,6981.0,40.0,252.0,428.0,37.0,1075.4
464.0,35.0,4885.0,17476.0,18998.0,163.0,3.0,27023.0,15.0,42.0,211.0,41.0,1087.1
114.0,44.0,7063.0,37231.0,41325.0,54.0,3.0,3470.0,16.0,215.0,424.0,16.0,1189.3
55.0,41.0,7439.0,21947.0,44148.0,13.0,10.0,43329.0,25.0,422.0,73.0,24.0,1125.4
22.0,40.0,6058.0,3171.0,23447.0,6.0,4.0,20284.0,10.0,205.0,170.0,18.0,1134.7
83.0,49.0,1983.0,43456.0,7576.0,57.0,5.0,24811.0,11.0,156.0,370.0,25.0,1052.5
71.0,25.0,5572.0,44776.0,34889.0,173.0,9.0,25003.0,9.0,363.0,156.0,18.0,1147.8
403.0,23.0,7024.0,34444.0,47358.0,172.0,3.0,7436.0,17.0,457.0,383.0,28.0,1004.9
38.0,34.0,7608.0,40571.0,46967.0,102.0,7.0,37588.0,34.0,30.0,469.0,49.0,1077.1
369.0,40.0,5819.0,36514.0,23151.0,118.0,10.0,42352.0,17.0,150.0,200.0,23.0,1081.5
291.0,24.0,2620.0,16416.0,2266.0,86.0,10.0,10361.0,27.0,210.0,468.0,2.0,1167.0
134.0,4.0,1332.0,36258.0,28220.0,178.0,5.0,3829.0,48.0,99.0,45.0,31.0,1111.9
383.0,7.0,6377.0,42528.0,41521.0,70.0,3.0,47457.0,43.0,444.0,230.0,20.0,1131.1
440.0,37.0,5170.0,7070.0,16490.0,7.0,4.0,10323.0,50.0,139.0,184.0,15.0,1067.6
355.0,6.0,5882.0,45705.0,48307.0,84.0,1.0,40963.0,38.0,224.0,184.0,40.0,1076.5
246.0,30.0,5268.0,19022.0,43838.0,184.0,2.0,40426.0,36.0,52.0,44.0,37.0,1108.2
112.0,12.0,3336.0,45516.0,23962.0,146.0,4.0,47033.0,4.0,384.0,364.0,35.0,1070.3
458.0,49.0,1889.0,25079.0,24570.0,87.0,10.0,42082.0,32.0,409.0,463.0,38.0,1159.0
81.0,43.0,5874.0,48851.0,36055.0,186.0,2.0,28170.0,45.0,61.0,322.0,46.0,1102.0
225.0,49.0,7248.0,31088.0,48659.0,115.0,6.0,11069.0,31.0,253.0,30.0,50.0,1072.0
86.0,41.0,5310.0,32913.0,16843.0,60.0,4.0,9006.0,30.0,258.0,447.0,37.0,1107.8
179.0,2.0,3569.0,8733.0,28544.0,56.0,2.0,48196.0,43.0,90.0,405.0,8.0,1197.3
12.0,9.0,3175.0,2988.0,30709.0,98.0,9.0,24165.0,24.0,133.0,277.0,11.0,1137.9
430.0,48.0,6991.0,48200.0,11441.0,195.0,8.0,41583.0,12.0,49.0,439.0,23.0,1074.9
408.0,29.0,3083.0,9812.0,39637.0,176.0,5.0,30615.0,6.0,356.0,32.0,5.0,1151.3
428.0,37.0,1211.0,37026.0,30391.0,120.0,1.0,5923.0,4.0,212.0,226.0,31.0,1171.8
477.0,41.0,5353.0,15154.0,24832.0,132.0,6.0,18489.0,8.0,160.0,413.0,45.0,1117.2
411.0,23.0,1504.0,47260.0,11390.0,172.0,6.0,27246.0,47.0,223.0,454.0,46.0,1176.3
349.0,5.0,4935.0,13513.0,33172.0,124.0,10.0,38397.0,43.0,486.0,16.0,26.0,1165.6
51.0,14.0,4772.0,2587.0,39743.0,85.0,7.0,31605.0,1.0,147.0,442.0,29.0,1124.9
77.0,2.0,5527.0,42843.0,9011.0,122.0,5.0,28715.0,16.0,359.0,294.0,48.0,1183.7
182.0,25.0,189.0,3131.0,35942.0,92.0,10.0,47618.0,44.0,289.0,49.0,38.0,1082.8
451.0,22.0,907.0,26911.0,36482.0,58.0,9.0,29618.0,36.0,48.0,147.0,19.0,1034.6
91.0,11.0,2984.0,8556.0,24226.0,199.0,6.0,513.0,13.0,65.0,177.0,2.0,1163.7
167.0,50.0,1126.0,47306.0,37109.0,18.0,2.0,19139.0,45.0,240.0,82.0,20.0,1096.0
257.0,29.0,3233.0,38484.0,270.0,187.0,10.0,765.0,12.0,167.0,203.0,28.0,1173.2
355.0,40.0,5854.0,36248.0,36551.0,28.0,5.0,39888.0,14.0,357.0,298.0,26.0,1141.8
494.0,22.0,6884.0,37151.0,9536.0,124.0,5.0,37182.0,7.0,47.0,175.0,18.0,1135.2
75.0,13.0,4351.0,25831.0,30187.0,11.0,9.0,17718.0,25.0,417.0,183.0,46.0,1067.9
205.0,40.0,7012.0,31394.0,43567.0,110.0,1.0,27652.0,34.0,20.0,111.0,45.0,1142.5
377.0,48.0,7352.0,37389.0,37465.0,139.0,5.0,41413.0,21.0,74.0,198.0,1.0,1140.6
243.0,43.0,2305.0,10633.0,25219.0,104.0,7.0,17860.0,23.0,246.0,42.0,37.0,1100.2
21.0,23.0,3013.0,9006.0,29228.0,82.0,10.0,44100.0,9.0,39.0,392.0,48.0,1103.1
157.0,3.0,7492.0,24333.0,12760.0,51.0,6.0,2246.0,35.0,98.0,290.0,10.0,1186.2
168.0,10.0,471.0,33674.0,36809.0,87.0,3.0,27815.0,38.0,11.0,353.0,23.0,1054.7
389.0,46.0,4251.0,14394.0,47278.0,125.0,2.0,4608.0,49.0,240.0,219.0,48.0,1080.4
460.0,39.0,5347.0,33068.0,38273.0,100.0,2.0,28437.0,45.0,437.0,158.0,41.0,1154.6
497.0,28.0,2030.0,37221.0,38381.0,150.0,8.0,38653.0,29.0,497.0,119.0,34.0,1119.6
41.0,29.0,3085.0,14606.0,18768.0,47.0,2.0,40599.0,21.0,105.0,459.0,18.0,1142.5
391.0,48.0,2428.0,36893.0,46884.0,127.0,6.0,44348.0,11.0,423.0,373.0,7.0,1051.7
186.0,27.0,11.0,25376.0,31186.0,114.0,4.0,35273.0,7.0,356.0,298.0,17.0,1060.8
78.0,28.0,3486.0,13059.0,42365.0,19.0,10.0,15001.0,48.0,456.0,372.0,35.0,1115.2
476.0,38.0,3783.0,17134.0,12301.0,171.0,6.0,37034.0,35.0,376.0,241.0,30.0,1103.1
194.0,17.0,6090.0,20680.0,44789.0,44.0,7.0,41893.0,25.0,206.0,499.0,48.0,1035.0
215.0,27.0,7124.0,48308.0,9905.0,28.0,3.0,39881.0,49.0,8.0,482.0,24.0,1039.7
132.0,33.0,7283.0,29105.0,29557.0,125.0,6.0,4471.0,36.0,116.0,428.0,1.0,1143.8
70.0,15.0,7856.0,8905.0,48408.0,31.0,9.0,44592.0,47.0,466.0,409.0,33.0,1180.4
112.0,1.0,363.0,28411.0,14807.0,7.0,9.0,30689.0,49.0,38.0,200.0,1.0,1007.7
466.0,30.0,1934.0,42326.0,35183.0,120.0,1.0,4724.0,7.0,352.0,421.0,34.0,1135.7
412.0,47.0,3661.0,44179.0,20993.0,11.0,7.0,673.0,13.0,461.0,420.0,8.0,1026.4
144.0,10.0,630.0,43882.0,36889.0,38.0,1.0,49946.0,44.0,470.0,70.0,3.0,1144.3
237.0,1.0,4742.0,6309.0,16993.0,108.0,3.0,30187.0,42.0,420.0,315.0,23.0,1210.2
173.0,6.0,1159.0,4530.0,8156.0,7.0,10.0,27816.0,16.0,379.0,321.0,12.0,1149.2
460.0,4.0,7826.0,25244.0,1747.0,175.0,3.0,42202.0,19.0,462.0,5.0,18.0,1139.7
273.0,9.0,5982.0,1303.0,39792.0,156.0,2.0,41692.0,42.0,389.0,340.0,9.0,1213.4
